Assembly,isolation source
GCA_000496455.2,Ear_Nose_Throat
GCA_000503175.1,Ear_Nose_Throat
GCA_000505985.1,Respiratory
GCA_000506025.1,Respiratory
GCA_000506045.1,Respiratory
GCA_000506065.1,Respiratory
GCA_000506125.1,Respiratory
GCA_000506185.1,Respiratory
GCA_000506345.1,Respiratory
GCA_000506365.1,Respiratory
GCA_000504045.1,Soil
GCA_000506805.1,Gastrointestinal
GCA_000506885.1,Urinary
GCA_000510305.1,CF_Respiratory
GCA_000520255.1,Respiratory
GCA_000520275.1,Respiratory
GCA_000520295.1,Respiratory
GCA_000520315.1,Urinary
GCA_000520335.1,Skin_Soft_Tissue
GCA_000520355.1,Respiratory
GCA_000520375.1,Skin_Soft_Tissue
GCA_000520395.1,Respiratory
GCA_000520415.1,Urinary
GCA_000520455.1,Respiratory
GCA_000524595.1,Soil
GCA_000568215.1,Water
GCA_000568235.2,Respiratory
GCA_000590905.1,Marine
GCA_000611995.2,Urinary
GCA_000611975.2,Respiratory
GCA_000629025.1,Reproductive
GCA_000629045.1,Ear_Nose_Throat
GCA_000629065.1,Urinary
GCA_000629085.1,Skin_Soft_Tissue
GCA_000629105.1,Respiratory
GCA_000629125.1,Urinary
GCA_000629145.1,Respiratory
GCA_000632755.1,Water
GCA_000633495.1,Crop
GCA_000647595.2,Marine
GCA_000647615.1,Water
GCA_000647655.1,Water
GCA_000709285.1,Soil
GCA_000710625.1,Skin_Soft_Tissue
GCA_000714515.1,Water
GCA_000737795.1,Bloodstream
GCA_000756575.1,Industrial
GCA_000757505.1,Water
GCA_000763245.3,Medical_Device
GCA_000783275.1,Urinary
GCA_000789485.1,Urinary
GCA_000789495.1,Respiratory
GCA_000789535.1,Urinary
GCA_000789555.1,Urinary
GCA_000789625.1,Urinary
GCA_000789635.1,Urinary
GCA_000789705.1,Respiratory
GCA_000789755.1,Respiratory
GCA_000789745.1,Respiratory
GCA_000789785.1,Urinary
GCA_000789845.1,Respiratory
GCA_000789815.1,Respiratory
GCA_000789885.1,Urinary
GCA_000789905.1,Respiratory
GCA_000789925.1,Respiratory
GCA_000789965.1,Respiratory
GCA_000790035.1,Urinary
GCA_000790105.1,Urinary
GCA_000790155.1,Respiratory
GCA_000790145.1,Respiratory
GCA_000790185.1,Respiratory
GCA_000790215.1,Respiratory
GCA_000790205.1,Respiratory
GCA_000790265.1,Urinary
GCA_000790285.1,Urinary
GCA_000790325.1,Urinary
GCA_000790345.1,Urinary
GCA_000790355.1,Respiratory
GCA_000790385.1,Respiratory
GCA_000790405.1,Respiratory
GCA_000790425.1,Respiratory
GCA_000790485.1,Respiratory
GCA_000790525.1,Respiratory
GCA_000790545.1,Respiratory
GCA_000790605.1,Respiratory
GCA_000790625.1,Urinary
GCA_000790655.1,Respiratory
GCA_000790645.1,Respiratory
GCA_000790705.1,Urinary
GCA_000790735.1,Urinary
GCA_000790825.1,Urinary
GCA_000790835.1,Respiratory
GCA_000790865.1,Respiratory
GCA_000790885.1,Respiratory
GCA_000790905.1,Urinary
GCA_000790985.1,Urinary
GCA_000791005.1,Urinary
GCA_000791035.1,Respiratory
GCA_000791065.1,Urinary
GCA_000791125.1,Respiratory
GCA_000791185.1,Respiratory
GCA_000791205.1,Respiratory
GCA_000791225.1,Respiratory
GCA_000791235.1,Urinary
GCA_000791275.1,Urinary
GCA_000791325.1,Urinary
GCA_000791345.1,Respiratory
GCA_000791365.1,Urinary
GCA_000791385.1,Urinary
GCA_000791405.1,Urinary
GCA_000791445.1,Urinary
GCA_000791465.1,Respiratory
GCA_000791495.1,Respiratory
GCA_000791525.1,Urinary
GCA_000791545.1,Urinary
GCA_000791765.1,Respiratory
GCA_000791785.1,Respiratory
GCA_000791805.1,Respiratory
GCA_000791825.1,Respiratory
GCA_000791835.1,Respiratory
GCA_000791885.1,Respiratory
GCA_000791905.1,Respiratory
GCA_000791915.1,Respiratory
GCA_000792065.1,Respiratory
GCA_000792085.1,Respiratory
GCA_000792095.1,Respiratory
GCA_000792115.1,Respiratory
GCA_000792155.1,Urinary
GCA_000792145.1,Respiratory
GCA_000792165.1,Urinary
GCA_000792205.1,Urinary
GCA_000792245.1,Urinary
GCA_000792265.1,Respiratory
GCA_000792285.1,Respiratory
GCA_000792305.1,Respiratory
GCA_000792325.1,Urinary
GCA_000792345.1,Respiratory
GCA_000792365.1,Respiratory
GCA_000792385.1,Respiratory
GCA_000792425.1,Urinary
GCA_000792515.1,Urinary
GCA_000792605.1,Urinary
GCA_000792625.1,Urinary
GCA_000792665.1,Urinary
GCA_000792725.1,Respiratory
GCA_000792745.1,Respiratory
GCA_000792765.1,Respiratory
GCA_000792785.1,Respiratory
GCA_000792805.1,Urinary
GCA_000792825.1,Urinary
GCA_000792845.1,Respiratory
GCA_000792855.1,Respiratory
GCA_000792945.1,Respiratory
GCA_000792965.1,Urinary
GCA_000792975.1,Urinary
GCA_000793045.1,Respiratory
GCA_000793055.1,Respiratory
GCA_000793105.1,Urinary
GCA_000793135.1,Urinary
GCA_000793165.1,Respiratory
GCA_000793185.1,Urinary
GCA_000793205.1,Respiratory
GCA_000793225.1,Respiratory
GCA_000793255.1,Urinary
GCA_000793245.1,Respiratory
GCA_000793285.1,Urinary
GCA_000793295.1,Urinary
GCA_000793315.1,Respiratory
GCA_000793385.1,Urinary
GCA_000793365.1,Respiratory
GCA_000793395.1,Urinary
GCA_000793445.1,Respiratory
GCA_000793485.1,Urinary
GCA_000793505.1,Respiratory
GCA_000793595.1,Respiratory
GCA_000793615.1,Respiratory
GCA_000793645.1,Respiratory
GCA_000793685.1,Respiratory
GCA_000793745.1,Urinary
GCA_000793765.1,Respiratory
GCA_000793825.1,Respiratory
GCA_000793845.1,Urinary
GCA_000793865.1,Urinary
GCA_000793885.1,Urinary
GCA_000793915.1,Respiratory
GCA_000793945.1,Urinary
GCA_000793955.1,Respiratory
GCA_000794005.1,Respiratory
GCA_000794045.1,Urinary
GCA_000794055.1,Respiratory
GCA_000794085.1,Urinary
GCA_000794095.1,Respiratory
GCA_000794165.1,Respiratory
GCA_000794175.1,Respiratory
GCA_000794195.1,Respiratory
GCA_000794245.1,Urinary
GCA_000794265.1,Urinary
GCA_000794285.1,Respiratory
GCA_000794305.1,Respiratory
GCA_000794325.1,Respiratory
GCA_000794335.1,Respiratory
GCA_000794405.1,Respiratory
GCA_000794455.1,Urinary
GCA_000794425.1,Respiratory
GCA_000794445.1,Respiratory
GCA_000794485.1,Urinary
GCA_000794515.1,Respiratory
GCA_000794545.1,Respiratory
GCA_000794555.1,Urinary
GCA_000794605.1,Respiratory
GCA_000794645.1,Urinary
GCA_000794665.1,Respiratory
GCA_000794675.1,Respiratory
GCA_000794735.1,Respiratory
GCA_000794785.1,Respiratory
GCA_000794845.1,Respiratory
GCA_000794865.1,Urinary
GCA_000794925.1,Urinary
GCA_000794945.1,Respiratory
GCA_000794965.1,Respiratory
GCA_000794985.1,Respiratory
GCA_000794995.1,Respiratory
GCA_000795025.1,Urinary
GCA_000795045.1,Respiratory
GCA_000795085.1,Urinary
GCA_000795115.1,Respiratory
GCA_000795145.1,Respiratory
GCA_000795165.1,Urinary
GCA_000795205.1,Urinary
GCA_000795235.1,Urinary
GCA_000795285.1,Respiratory
GCA_000795305.1,Respiratory
GCA_000795325.1,Respiratory
GCA_000795345.1,Respiratory
GCA_000795405.1,Respiratory
GCA_000795605.1,Respiratory
GCA_000795705.1,Respiratory
GCA_000795805.1,Urinary
GCA_000795905.1,Respiratory
GCA_000795955.1,Urinary
GCA_000796025.1,Respiratory
GCA_000796205.1,Urinary
GCA_000796225.1,Urinary
GCA_000796255.1,Urinary
GCA_000796285.1,Urinary
GCA_000796295.1,Urinary
GCA_000796325.1,Urinary
GCA_000796345.1,Urinary
GCA_000796365.1,Urinary
GCA_000796385.1,Urinary
GCA_000796405.1,Respiratory
GCA_000796425.1,Urinary
GCA_000796445.1,Respiratory
GCA_000796475.1,Respiratory
GCA_000796465.1,Respiratory
GCA_000796505.1,Respiratory
GCA_000796525.1,CF_Respiratory
GCA_000796545.1,CF_Respiratory
GCA_000796555.1,CF_Respiratory
GCA_000796585.1,CF_Respiratory
GCA_000796615.1,CF_Respiratory
GCA_000796655.1,CF_Respiratory
GCA_000796685.1,CF_Respiratory
GCA_000796705.1,CF_Respiratory
GCA_000796745.1,CF_Respiratory
GCA_000796765.1,CF_Respiratory
GCA_000796785.1,CF_Respiratory
GCA_000796795.1,CF_Respiratory
GCA_000796825.1,CF_Respiratory
GCA_000796865.1,CF_Respiratory
GCA_000796875.1,CF_Respiratory
GCA_000796905.1,CF_Respiratory
GCA_000796925.1,CF_Respiratory
GCA_000796945.1,CF_Respiratory
GCA_000796955.1,CF_Respiratory
GCA_000796985.1,CF_Respiratory
GCA_000797005.1,CF_Respiratory
GCA_000797025.1,Respiratory
GCA_000797045.1,CF_Respiratory
GCA_000797055.1,CF_Respiratory
GCA_000797105.1,CF_Respiratory
GCA_000797125.1,CF_Respiratory
GCA_000797145.1,CF_Respiratory
GCA_000797165.1,CF_Respiratory
GCA_000797185.1,CF_Respiratory
GCA_000797225.1,CF_Respiratory
GCA_000797245.1,CF_Respiratory
GCA_000797265.1,CF_Respiratory
GCA_000797285.1,CF_Respiratory
GCA_000797305.1,CF_Respiratory
GCA_000797325.1,CF_Respiratory
GCA_000797355.1,CF_Respiratory
GCA_000797395.1,Respiratory
GCA_000813565.1,Water
GCA_000816985.1,Bone_Joint
GCA_000817165.1,Soil
GCA_000817865.1,Bloodstream
GCA_000823905.1,Respiratory
GCA_000823925.1,Respiratory
GCA_000823945.1,Respiratory
GCA_000823965.1,Respiratory
GCA_000823985.1,Respiratory
GCA_000824005.1,Respiratory
GCA_000824025.1,Respiratory
GCA_000824045.1,Respiratory
GCA_000824065.1,Respiratory
GCA_000824085.1,Respiratory
GCA_000824105.1,Respiratory
GCA_000824125.1,Respiratory
GCA_000824145.1,Respiratory
GCA_000824165.1,Respiratory
GCA_000824185.1,Respiratory
GCA_000824205.1,Respiratory
GCA_000824225.1,Respiratory
GCA_000824245.1,Respiratory
GCA_000824265.1,Respiratory
GCA_000824285.1,Respiratory
GCA_000824305.1,Respiratory
GCA_000824325.1,Respiratory
GCA_000824345.1,Respiratory
GCA_000824365.1,Respiratory
GCA_000824385.1,Respiratory
GCA_000824405.1,Respiratory
GCA_000824425.1,Respiratory
GCA_000824445.1,Respiratory
GCA_000824465.1,Respiratory
GCA_000824485.1,Respiratory
GCA_000824505.1,Respiratory
GCA_000824525.1,Respiratory
GCA_000824545.1,Respiratory
GCA_000824565.1,Respiratory
GCA_000824585.1,Respiratory
GCA_000824605.1,Respiratory
GCA_000824625.1,Respiratory
GCA_000824645.1,Respiratory
GCA_000824665.1,Respiratory
GCA_000824685.1,Respiratory
GCA_000950725.1,Respiratory
GCA_000952805.1,Respiratory
GCA_000982125.1,Skin_Soft_Tissue
GCA_000982155.1,Skin_Soft_Tissue
GCA_001007185.1,Respiratory
GCA_001007215.1,Respiratory
GCA_001007275.1,Respiratory
GCA_001007265.1,Respiratory
GCA_001007315.1,Respiratory
GCA_001007395.1,Respiratory
GCA_001007425.1,Respiratory
GCA_001007415.1,Respiratory
GCA_001007475.1,Respiratory
GCA_001010535.1,Respiratory
GCA_001010545.1,Respiratory
GCA_001010525.1,Respiratory
GCA_001013395.1,Bloodstream
GCA_001023615.1,Respiratory
GCA_001023625.1,Respiratory
GCA_001023635.1,Respiratory
GCA_001023675.1,Respiratory
GCA_001023705.1,Respiratory
GCA_001023685.1,Respiratory
GCA_001023735.1,Respiratory
GCA_001023765.1,Respiratory
GCA_001023755.1,Respiratory
GCA_001023775.1,Respiratory
GCA_001023815.1,Respiratory
GCA_001023835.1,Respiratory
GCA_001023845.1,Respiratory
GCA_001023875.1,Respiratory
GCA_001023895.1,Respiratory
GCA_001023915.1,Respiratory
GCA_001023925.1,Respiratory
GCA_001023955.1,Respiratory
GCA_001023975.1,Respiratory
GCA_001023985.1,Respiratory
GCA_001023995.1,Respiratory
GCA_001024035.1,Respiratory
GCA_001024055.1,Respiratory
GCA_001024065.1,Respiratory
GCA_001024075.1,Respiratory
GCA_001024115.1,Respiratory
GCA_001024135.1,Respiratory
GCA_001024125.1,Respiratory
GCA_001024145.1,Respiratory
GCA_001024195.1,Respiratory
GCA_001024205.1,Respiratory
GCA_001024215.1,Respiratory
GCA_001024235.1,Respiratory
GCA_001024285.1,Respiratory
GCA_001024275.1,Respiratory
GCA_001024305.1,Respiratory
GCA_001024325.1,Respiratory
GCA_001024355.1,Respiratory
GCA_001024375.1,Respiratory
GCA_001024365.1,Respiratory
GCA_001024395.1,Respiratory
GCA_001024445.1,Respiratory
GCA_001024435.1,Respiratory
GCA_001024455.1,Respiratory
GCA_001024495.1,Respiratory
GCA_001024515.1,Respiratory
GCA_001024535.1,Respiratory
GCA_001024545.1,Respiratory
GCA_001024565.1,Respiratory
GCA_001024585.1,Respiratory
GCA_001024615.1,Respiratory
GCA_001024635.1,Respiratory
GCA_001024655.1,Respiratory
GCA_001024645.1,Respiratory
GCA_001024695.1,Respiratory
GCA_001024725.1,Respiratory
GCA_001024715.1,Respiratory
GCA_001024755.1,Respiratory
GCA_001024775.1,Respiratory
GCA_001024765.1,Respiratory
GCA_001024805.1,Respiratory
GCA_001024835.1,Respiratory
GCA_001024855.1,Respiratory
GCA_001024875.1,Respiratory
GCA_001024845.1,Respiratory
GCA_001024915.1,Respiratory
GCA_001024945.1,Respiratory
GCA_001024925.1,Respiratory
GCA_001024955.1,Respiratory
GCA_001024995.1,Respiratory
GCA_001034665.1,Respiratory
GCA_001034675.1,Respiratory
GCA_001034685.1,Respiratory
GCA_001034745.1,Respiratory
GCA_001034765.1,Respiratory
GCA_001034785.1,Respiratory
GCA_001034755.1,Respiratory
GCA_001034835.1,Respiratory
GCA_001034825.1,Respiratory
GCA_001034875.1,Respiratory
GCA_001034855.1,Respiratory
GCA_001034905.1,Respiratory
GCA_001034915.1,Respiratory
GCA_001034945.1,Respiratory
GCA_001034955.1,Respiratory
GCA_001034985.1,Respiratory
GCA_001035005.1,Respiratory
GCA_001035025.1,Respiratory
GCA_001035035.1,Respiratory
GCA_001035065.1,Respiratory
GCA_001035075.1,Respiratory
GCA_001035105.1,Respiratory
GCA_001035115.1,Respiratory
GCA_001035145.1,Respiratory
GCA_001035155.1,Respiratory
GCA_001035175.1,Respiratory
GCA_001035205.1,Respiratory
GCA_001035225.1,Respiratory
GCA_001035235.1,Respiratory
GCA_001035245.1,Respiratory
GCA_001035285.1,Respiratory
GCA_001035305.1,Respiratory
GCA_001035315.1,Respiratory
GCA_001035325.1,Respiratory
GCA_001035365.1,Respiratory
GCA_001035385.1,Respiratory
GCA_001035395.1,Respiratory
GCA_001035415.1,Respiratory
GCA_001035445.1,Respiratory
GCA_001035465.1,Respiratory
GCA_001035485.1,Respiratory
GCA_001035495.1,Respiratory
GCA_001035525.1,Respiratory
GCA_001035535.1,Respiratory
GCA_001035565.1,Respiratory
GCA_001035575.1,Respiratory
GCA_001035605.1,Respiratory
GCA_001035625.1,Respiratory
GCA_001035645.1,Respiratory
GCA_001035635.1,Respiratory
GCA_001035685.1,Respiratory
GCA_001035705.1,Respiratory
GCA_001035715.1,Respiratory
GCA_001035725.1,Respiratory
GCA_001035765.1,Respiratory
GCA_001035785.1,Respiratory
GCA_001035795.1,Respiratory
GCA_001035805.1,Respiratory
GCA_001035845.1,Respiratory
GCA_001035875.1,Respiratory
GCA_001035865.1,Respiratory
GCA_001035885.1,Respiratory
GCA_001035925.1,Respiratory
GCA_001035945.1,Respiratory
GCA_001035955.1,Respiratory
GCA_001035975.1,Respiratory
GCA_001036005.1,Respiratory
GCA_001036025.1,Respiratory
GCA_001036035.1,Respiratory
GCA_001036115.1,Respiratory
GCA_001036105.1,Respiratory
GCA_001036145.1,Respiratory
GCA_001036155.1,Respiratory
GCA_001036185.1,Respiratory
GCA_001036195.1,Respiratory
GCA_001036225.1,Respiratory
GCA_001036235.1,Respiratory
GCA_001036255.1,Respiratory
GCA_001036265.1,Respiratory
GCA_001036305.1,Respiratory
GCA_001036355.1,Respiratory
GCA_001036335.1,Respiratory
GCA_001036385.1,Respiratory
GCA_001036425.1,Respiratory
GCA_001036415.1,Respiratory
GCA_001036405.1,Respiratory
GCA_001036465.1,Respiratory
GCA_001036485.1,Respiratory
GCA_001036505.1,Respiratory
GCA_001036495.1,Respiratory
GCA_001036545.1,Respiratory
GCA_001036565.1,Respiratory
GCA_001036585.1,Respiratory
GCA_001036575.1,Respiratory
GCA_001036605.1,Respiratory
GCA_001036645.1,Respiratory
GCA_001036655.1,Respiratory
GCA_001036685.1,Respiratory
GCA_001036675.1,Respiratory
GCA_001036735.1,Respiratory
GCA_001036725.1,Respiratory
GCA_001036765.1,Respiratory
GCA_001036775.1,Respiratory
GCA_001036805.1,Respiratory
GCA_001036815.1,Respiratory
GCA_001036835.1,Respiratory
GCA_001036825.1,Respiratory
GCA_001036895.1,Respiratory
GCA_001036885.1,Respiratory
GCA_001036905.1,Respiratory
GCA_001036915.1,Respiratory
GCA_001036975.1,Respiratory
GCA_001036965.1,Respiratory
GCA_001036985.1,Respiratory
GCA_001037025.1,Respiratory
GCA_001037065.1,Respiratory
GCA_001037105.1,Respiratory
GCA_001037125.1,Respiratory
GCA_001037145.1,Respiratory
GCA_001037165.1,Respiratory
GCA_001037185.1,Respiratory
GCA_001037195.1,Respiratory
GCA_001037225.1,Respiratory
GCA_001037235.1,Respiratory
GCA_001037265.1,Respiratory
GCA_001037275.1,Respiratory
GCA_001037305.1,Respiratory
GCA_001037315.1,Respiratory
GCA_001037355.1,Respiratory
GCA_001037345.1,Respiratory
GCA_001037395.1,Respiratory
GCA_001037385.1,Respiratory
GCA_001037045.1,Respiratory
GCA_001037055.1,Respiratory
GCA_001039325.1,Respiratory
GCA_001293085.1,Hospital
GCA_021712955.1,Urinary
GCA_021712875.1,Respiratory
GCA_001295275.1,Hospital
GCA_001295295.1,Hospital
GCA_001295285.1,Hospital
GCA_001295345.1,Hospital
GCA_001414085.1,Respiratory
GCA_001414105.1,Respiratory
GCA_001414155.1,Respiratory
GCA_001414165.1,Respiratory
GCA_001414175.1,Respiratory
GCA_001420535.1,Urinary
GCA_001420525.1,Urinary
GCA_001431165.1,Respiratory
GCA_001447845.1,Skin_Soft_Tissue
GCA_001449145.1,Hospital
GCA_001449155.1,Hospital
GCA_001449165.1,Hospital
GCA_001449175.1,Hospital
GCA_001449225.1,Hospital
GCA_001449245.1,Hospital
GCA_001449255.1,Hospital
GCA_001449275.1,Hospital
GCA_001449325.1,Hospital
GCA_001449305.1,Hospital
GCA_001449345.1,Hospital
GCA_001449365.1,Hospital
GCA_001449385.1,Hospital
GCA_001449395.1,Hospital
GCA_001449425.1,Hospital
GCA_001449485.1,Water
GCA_001449465.1,Hospital
GCA_001449505.1,Skin_Soft_Tissue
GCA_001449515.1,Hospital
GCA_001449555.1,Hospital
GCA_001449545.1,Hospital
GCA_001449585.1,Hospital
GCA_001449605.1,Hospital
GCA_001449625.1,Hospital
GCA_001449645.1,Hospital
GCA_001449655.1,Hospital
GCA_001449675.1,Hospital
GCA_001449705.1,Hospital
GCA_001449725.1,Skin_Soft_Tissue
GCA_001449735.1,Hospital
GCA_001449765.1,Hospital
GCA_001449785.1,Hospital
GCA_001449805.1,Hospital
GCA_001449825.1,Hospital
GCA_001449835.1,Hospital
GCA_001449865.1,Hospital
GCA_001449885.1,Hospital
GCA_001449905.1,Hospital
GCA_001449925.1,Hospital
GCA_001449935.1,Hospital
GCA_001449965.1,Hospital
GCA_001449985.1,Hospital
GCA_001450005.1,Hospital
GCA_001450015.1,Hospital
GCA_001450045.1,Hospital
GCA_001450065.1,Hospital
GCA_001450085.1,Hospital
GCA_001450095.1,Hospital
GCA_001450115.1,Respiratory
GCA_001450145.1,Hospital
GCA_001450165.1,Hospital
GCA_001450185.1,Hospital
GCA_001450195.1,Hospital
GCA_001450225.1,Hospital
GCA_001450245.1,Hospital
GCA_001450275.1,Hospital
GCA_001450265.1,Hospital
GCA_001450305.1,Hospital
GCA_001450325.1,Hospital
GCA_001450345.1,Hospital
GCA_001450385.1,Hospital
GCA_001450425.1,Hospital
GCA_001450435.1,Hospital
GCA_001450465.1,Hospital
GCA_001450485.1,Hospital
GCA_001450505.1,Hospital
GCA_001450525.1,Hospital
GCA_001450545.1,Hospital
GCA_001450555.1,Hospital
GCA_001450585.1,Ear_Nose_Throat
GCA_001450605.1,Hospital
GCA_001450635.1,Hospital
GCA_001450665.1,Hospital
GCA_001450675.1,Hospital
GCA_001450705.1,Hospital
GCA_001450715.1,Hospital
GCA_001450755.1,Hospital
GCA_001450745.1,Hospital
GCA_001450785.1,Hospital
GCA_001450795.1,Hospital
GCA_001450835.1,Hospital
GCA_001450825.1,Hospital
GCA_001450865.1,Hospital
GCA_001450875.1,Hospital
GCA_001450905.1,Hospital
GCA_001450915.1,Hospital
GCA_001450935.1,Hospital
GCA_001450925.1,Hospital
GCA_001450985.1,Hospital
GCA_001450995.1,Hospital
GCA_001451015.1,Hospital
GCA_001451025.1,Hospital
GCA_001451065.1,Hospital
GCA_001451075.1,Hospital
GCA_001451105.1,Hospital
GCA_001451125.1,Hospital
GCA_001451145.1,Hospital
GCA_001451175.1,Hospital
GCA_001451165.1,Hospital
GCA_001451205.1,Hospital
GCA_001451225.1,Hospital
GCA_001451245.1,Water
GCA_001451255.1,Hospital
GCA_001451265.1,Hospital
GCA_001451295.1,Hospital
GCA_001451325.1,Hospital
GCA_001451335.1,Hospital
GCA_001451355.1,Hospital
GCA_001451375.1,Hospital
GCA_001451405.1,Hospital
GCA_001451425.1,Hospital
GCA_001451455.1,Hospital
GCA_001451485.1,Hospital
GCA_001451505.1,Hospital
GCA_001451525.1,Hospital
GCA_001451535.1,Hospital
GCA_001451575.1,Hospital
GCA_001451565.1,Hospital
GCA_001451605.1,Hospital
GCA_001451655.1,Hospital
GCA_001451685.1,Hospital
GCA_001451705.1,Hospital
GCA_001451725.1,Hospital
GCA_001451755.1,Hospital
GCA_001451785.1,Hospital
GCA_001451805.1,Hospital
GCA_001451815.1,Hospital
GCA_001451835.1,Hospital
GCA_001451865.1,Hospital
GCA_001451895.1,Hospital
GCA_001451885.1,Hospital
GCA_001451905.1,Hospital
GCA_001451945.1,Hospital
GCA_001451965.1,Hospital
GCA_001451975.1,Hospital
GCA_001452025.1,Hospital
GCA_001452045.1,Hospital
GCA_001452055.1,Hospital
GCA_001452075.1,Hospital
GCA_001452105.1,Hospital
GCA_001452125.1,Hospital
GCA_001452135.1,Hospital
GCA_001452155.1,Hospital
GCA_001452185.1,Hospital
GCA_001452205.1,Hospital
GCA_001452215.1,Hospital
GCA_001452235.1,Hospital
GCA_001452255.1,Hospital
GCA_001452285.1,Hospital
GCA_001452305.1,Hospital
GCA_001452325.1,Hospital
GCA_001452335.1,Hospital
GCA_001452365.1,Hospital
GCA_001452385.1,Hospital
GCA_001452415.1,Hospital
GCA_001452405.1,Hospital
GCA_001452445.1,Hospital
GCA_001452465.1,Hospital
GCA_001452495.1,Hospital
GCA_001452485.1,Hospital
GCA_001452525.1,Hospital
GCA_001452545.1,Hospital
GCA_001452565.1,Hospital
GCA_001452575.1,Hospital
GCA_001452605.1,Hospital
GCA_001452615.1,Hospital
GCA_001452645.1,Hospital
GCA_001452665.1,Hospital
GCA_001452675.1,Hospital
GCA_001452725.1,Hospital
GCA_001452745.1,Hospital
GCA_001452755.1,Hospital
GCA_001452805.1,Skin_Soft_Tissue
GCA_001452825.1,Skin_Soft_Tissue
GCA_001452835.1,Skin_Soft_Tissue
GCA_001452865.1,Bloodstream
GCA_001452905.1,Skin_Soft_Tissue
GCA_001452915.1,Skin_Soft_Tissue
GCA_001452935.1,Hospital
GCA_001452965.1,Respiratory
GCA_001452985.1,Skin_Soft_Tissue
GCA_001452995.1,Ear_Nose_Throat
GCA_001453015.1,Skin_Soft_Tissue
GCA_001453025.1,Ear_Nose_Throat
GCA_001453065.1,Hospital
GCA_001453095.1,Hospital
GCA_001453145.1,Hospital
GCA_001453155.1,Hospital
GCA_001453185.1,Hospital
GCA_001453205.1,Hospital
GCA_001453235.1,Hospital
GCA_001453225.1,Hospital
GCA_001453265.1,Hospital
GCA_001453285.1,Hospital
GCA_001453305.1,Hospital
GCA_001453315.1,Hospital
GCA_001453345.1,Hospital
GCA_001453365.1,Hospital
GCA_001453385.1,Hospital
GCA_001453435.1,Hospital
GCA_001453405.1,Hospital
GCA_001453415.1,Hospital
GCA_001453485.1,Hospital
GCA_001453495.1,Hospital
GCA_001453515.1,Hospital
GCA_001453545.1,Hospital
GCA_001453565.1,Hospital
GCA_001453585.1,Hospital
GCA_001453595.1,Hospital
GCA_001453615.1,Hospital
GCA_001453645.1,Hospital
GCA_001453665.1,Hospital
GCA_001453675.1,Hospital
